id_of_problem,a_benefit_v,a_benefit_p,a_side_effect_v,a_side_effect_p,b_benefit_v,b_benefit_p,b_side_effect_v,b_side_effect_p,EU_a,EU_b,EU_ratio,ENG_a_side_effect_v,ENG_b_side_effect_v,ENG_a_benefit_v,ENG_b_benefit_v,rnumber,pilot_a_benefit_v,pilot_b_benefit_v,pilot_a_side_effect_v,pilot_b_side_effect_v,pilot_id
16,schwere Halsschmerzen,0.836,Depression,0.014,schwere Halsschmerzen,0.703,Schlaflosigkeit,0.185,6.548,4.514,1.45059813912273,Depression,Insomnia,severe sore throat,severe sore throat,11,6.7,6.7,8.05,6.65,16
17,leichte Halsschmerzen,0.922,Halluzinationen,0.062,leichte Halsschmerzen,0.563,Schlaflosigkeit,0.056,0.364,0.227,1.60352422907489,Hallucination,Insomnia,mild sore throat,mild sore throat,12,1.85,1.85,7.75,6.65,17
18,mittlere Kopfschmerzen,0.584,Halluzinationen,0.015,mittlere Kopfschmerzen,0.658,Gedächtnisverlust,0.027,3.953,4.39,0.900455580865604,Hallucination,Memory Loss,moderate head ache,moderate head ache,13,4.95,4.95,7.75,7.65,18
19,mittlere Halsschmerzen,0.804,Schwindel,0.064,mittlere Halsschmerzen,0.889,Durchfall,0.163,3.7,3.956,0.935288169868554,Dizziness,Diarrea,moderate sore throat,moderate sore throat,14,4.35,4.35,5.45,4.55,19
22,schwere Kopfschmerzen,0.642,Blähungen,0.213,schwere Kopfschmerzen,0.902,Gedächtnisverlust,0.042,6.207,8.684,0.714762782128052,Flatulence,Memory Loss,severe head ache,severe head ache,15,7.75,7.75,2.65,7.65,22
23,mittlere Kopfschmerzen,0.828,Schwindel,0.033,mittlere Kopfschmerzen,0.81,Juckreiz,0.104,5.631,5.462,1.0309410472354399,Dizziness,Itching,moderate head ache,moderate head ache,16,4.95,4.95,5.45,4.3,23
26,schwere Halsschmerzen,0.645,Juckreiz,0.215,schwere Halsschmerzen,0.8,Blähungen,0.188,4.73,6.212,0.761429491307147,Itching,Flatulence,severe sore throat,severe sore throat,17,6.7,6.7,4.3,2.65,26
27,mittlere Halsschmerzen,0.517,Sprachstörungen,0.085,mittlere Halsschmerzen,0.835,Halluzinationen,0.072,1.99,3.527,0.564218882903317,Speech Disorder,Hallucination,moderate sore throat,moderate sore throat,18,4.35,4.35,6.9,7.75,27
28,schwere Halsschmerzen,0.9,Depression,0.012,schwere Halsschmerzen,0.786,Durchfall,0.181,7.08,5.745,1.23237597911227,Depression,Diarrea,severe sore throat,severe sore throat,19,6.7,6.7,8.05,4.55,28
29,mittlere Kopfschmerzen,0.676,Fieber,0.058,mittlere Kopfschmerzen,0.571,Blähungen,0.218,4.5,3.779,1.19079121460704,Fever,Flatulence,moderate head ache,moderate head ache,20,4.95,4.95,5.15,2.65,29
31,mittlere Halsschmerzen,0.769,Fieber,0.091,mittlere Halsschmerzen,0.681,Schlaflosigkeit,0.219,3.481,2.091,1.66475370636059,Fever,Insomnia,moderate sore throat,moderate sore throat,21,4.35,4.35,5.15,6.65,31
32,mittlere Halsschmerzen,0.86,Juckreiz,0.132,mittlere Halsschmerzen,0.782,Depression,0.014,4.036,3.77,1.07055702917772,Itching,Depression,moderate sore throat,moderate sore throat,22,4.35,4.35,4.3,8.05,32
34,mittlere Kopfschmerzen,0.596,Schlaflosigkeit,0.145,mittlere Kopfschmerzen,0.944,Sprachstörungen,0.135,3.302,5.663,0.583083171463888,Insomnia,Speech Disorder,moderate head ache,moderate head ache,23,4.95,4.95,6.65,6.9,34
35,leichte Kopfschmerzen,0.575,Depression,0.014,leichte Kopfschmerzen,0.724,Schwindel,0.183,1.585,1.257,1.26093874303898,Depression,Dizziness,mild head ache,mild head ache,24,2.75,2.75,8.05,5.45,35
36,mittlere Schmerzen im Brustkorb,0.791,Depression,0.019,mittlere Schmerzen im Brustkorb,0.631,Halluzinationen,0.019,2.974,2.353,1.26391840203995,Depression,Hallucination,moderate chest pain,moderate chest pain,25,4.25,4.25,8.05,7.75,36
39,schwere Rückenschmerzen,0.752,Durchfall,0.146,schwere Rückenschmerzen,0.624,Gedächtnisverlust,0.037,6.33,5.32,1.18984962406015,Diarrea,Memory Loss,severe back pain,severe back pain,26,7.4,7.4,4.55,7.65,39
42,schwere Kopfschmerzen,0.561,Juckreiz,0.199,schwere Kopfschmerzen,0.824,Fieber,0.151,5.212,7.636,0.682556312205343,Itching,Fever,severe head ache,severe head ache,27,7.75,7.75,4.3,5.15,42
43,mittlere Schmerzen im Brustkorb,0.767,Sprachstörungen,0.03,mittlere Schmerzen im Brustkorb,0.871,Sprachstörungen,0.117,2.858,2.665,1.07242026266417,Speech Disorder,Speech Disorder,moderate chest pain,moderate chest pain,28,4.25,4.25,6.9,6.9,43
44,leichte Rückenschmerzen,0.766,Fieber,0.083,leichte Rückenschmerzen,0.635,Durchfall,0.136,1.2,0.862,1.39211136890951,Fever,Diarrea,mild back pain,mild back pain,29,2.1,2.1,5.15,4.55,44
45,mittlere Kopfschmerzen,0.609,Blähungen,0.164,mittlere Kopfschmerzen,0.691,Juckreiz,0.081,4.099,4.675,0.876791443850267,Flatulence,Itching,moderate head ache,moderate head ache,30,4.95,4.95,2.65,4.3,45
48,mittlere Schmerzen im Brustkorb,0.754,Gedächtnisverlust,0.088,mittlere Schmerzen im Brustkorb,0.833,Fieber,0.235,2.312,2.392,0.966555183946488,Memory Loss,Fever,moderate chest pain,moderate chest pain,31,4.25,4.25,7.65,5.15,48
53,mittlere Kopfschmerzen,0.713,Depression,0.01,mittlere Kopfschmerzen,0.763,Halluzinationen,0.041,4.891,4.972,0.983708769106999,Depression,Hallucination,moderate head ache,moderate head ache,32,4.95,4.95,8.05,7.75,53
54,schwere Halsschmerzen,0.659,Blähungen,0.227,schwere Halsschmerzen,0.594,Schlaflosigkeit,0.134,5.045,3.948,1.27786220871327,Flatulence,Insomnia,severe sore throat,severe sore throat,33,6.7,6.7,2.65,6.65,54
56,mittlere Rückenschmerzen,0.77,Halluzinationen,0.016,mittlere Rückenschmerzen,0.62,Schlaflosigkeit,0.091,4.476,3.174,1.41020793950851,Hallucination,Insomnia,moderate back pain,moderate back pain,34,4.6,4.6,7.75,6.65,56
57,leichte Kopfschmerzen,0.645,Schwindel,0.137,leichte Kopfschmerzen,0.677,Sprachstörungen,0.017,1.25,1.912,0.653765690376569,Dizziness,Speech Disorder,mild head ache,mild head ache,35,2.75,2.75,5.45,6.9,57
59,schwere Halsschmerzen,0.569,Fieber,0.16,schwere Halsschmerzen,0.795,Depression,0.071,3.912,5.65,0.692389380530973,Fever,Depression,severe sore throat,severe sore throat,36,6.7,6.7,5.15,8.05,59
60,schwere Halsschmerzen,0.566,Sprachstörungen,0.06,schwere Halsschmerzen,0.766,Fieber,0.192,4.108,5.36,0.766417910447761,Speech Disorder,Fever,severe sore throat,severe sore throat,37,6.7,6.7,6.9,5.15,60
61,leichte Kopfschmerzen,0.86,Gedächtnisverlust,0.104,leichte Kopfschmerzen,0.659,Durchfall,0.138,1.748,1.563,1.11836212412028,Memory Loss,Diarrea,mild head ache,mild head ache,38,2.75,2.75,7.65,4.55,61
65,schwere Rückenschmerzen,0.571,Blähungen,0.261,schwere Rückenschmerzen,0.514,Depression,0.014,4.878,4.486,1.08738296923763,Flatulence,Depression,severe back pain,severe back pain,39,7.4,7.4,2.65,8.05,65
67,schwere Halsschmerzen,0.711,Sprachstörungen,0.145,schwere Halsschmerzen,0.536,Blähungen,0.139,4.673,4.149,1.12629549288985,Speech Disorder,Flatulence,severe sore throat,severe sore throat,40,6.7,6.7,6.9,2.65,67
68,mittlere Schmerzen im Brustkorb,0.845,Blähungen,0.162,mittlere Schmerzen im Brustkorb,0.869,Schlaflosigkeit,0.068,3.218,3.068,1.04889178617992,Flatulence,Insomnia,moderate chest pain,moderate chest pain,41,4.25,4.25,2.65,6.65,68
70,mittlere Rückenschmerzen,0.556,Depression,0.029,mittlere Rückenschmerzen,0.715,Sprachstörungen,0.105,3.046,3.555,0.856821378340366,Depression,Speech Disorder,moderate back pain,moderate back pain,42,4.6,4.6,8.05,6.9,70
71,schwere Rückenschmerzen,0.606,Sprachstörungen,0.036,schwere Rückenschmerzen,0.577,Durchfall,0.105,5.202,4.878,1.06642066420664,Speech Disorder,Diarrea,severe back pain,severe back pain,43,7.4,7.4,6.9,4.55,71
73,mittlere Kopfschmerzen,0.703,Juckreiz,0.162,mittlere Kopfschmerzen,0.756,Schwindel,0.103,4.597,4.777,0.962319447351894,Itching,Dizziness,moderate head ache,moderate head ache,44,4.95,4.95,4.3,5.45,73
74,leichte Rückenschmerzen,0.693,Sprachstörungen,0.031,leichte Rückenschmerzen,0.708,Juckreiz,0.18,1.169,1.056,1.10700757575758,Speech Disorder,Itching,mild back pain,mild back pain,45,2.1,2.1,6.9,4.3,74
76,schwere Halsschmerzen,0.794,Schwindel,0.2,schwere Halsschmerzen,0.837,Depression,0.018,5.352,6.516,0.821362799263352,Dizziness,Depression,severe sore throat,severe sore throat,46,6.7,6.7,5.45,8.05,76
77,schwere Rückenschmerzen,0.741,Depression,0.02,schwere Rückenschmerzen,0.571,Blähungen,0.198,6.469,4.941,1.30924913985023,Depression,Flatulence,severe back pain,severe back pain,47,7.4,7.4,8.05,2.65,77
79,mittlere Rückenschmerzen,0.733,Durchfall,0.167,mittlere Rückenschmerzen,0.799,Halluzinationen,0.038,3.897,4.452,0.875336927223719,Diarrea,Hallucination,moderate back pain,moderate back pain,48,4.6,4.6,4.55,7.75,79
80,leichte Halsschmerzen,0.812,Schlaflosigkeit,0.037,leichte Halsschmerzen,0.817,Juckreiz,0.199,0.59,0.419,1.40811455847255,Insomnia,Itching,mild sore throat,mild sore throat,49,1.85,1.85,6.65,4.3,80
81,leichte Rückenschmerzen,0.626,Blähungen,0.205,leichte Rückenschmerzen,0.571,Gedächtnisverlust,0.027,1.047,0.926,1.13066954643629,Flatulence,Memory Loss,mild back pain,mild back pain,50,2.1,2.1,2.65,7.65,81
83,leichte Kopfschmerzen,0.742,Halluzinationen,0.052,leichte Kopfschmerzen,0.688,Schwindel,0.112,1.758,1.504,1.1688829787234,Hallucination,Dizziness,mild head ache,mild head ache,51,2.75,2.75,7.75,5.45,83
84,leichte Kopfschmerzen,0.595,Juckreiz,0.187,leichte Kopfschmerzen,0.669,Schlaflosigkeit,0.065,1.411,1.617,0.872603586889301,Itching,Insomnia,mild head ache,mild head ache,52,2.75,2.75,4.3,6.65,84
85,schwere Kopfschmerzen,0.668,Durchfall,0.153,schwere Kopfschmerzen,0.846,Schlaflosigkeit,0.082,6.221,7.968,0.780747991967872,Diarrea,Insomnia,severe head ache,severe head ache,53,7.75,7.75,4.55,6.65,85
86,leichte Halsschmerzen,0.716,Schlaflosigkeit,0.074,leichte Halsschmerzen,0.676,Blähungen,0.176,0.272,0.5,0.544,Insomnia,Flatulence,mild sore throat,mild sore throat,54,1.85,1.85,6.65,2.65,86
90,mittlere Schmerzen im Brustkorb,0.832,Schwindel,0.118,mittlere Schmerzen im Brustkorb,0.903,Blähungen,0.193,2.738,3.419,0.800818952910208,Dizziness,Flatulence,moderate chest pain,moderate chest pain,55,4.25,4.25,5.45,2.65,90
92,schwere Halsschmerzen,0.793,Depression,0.013,schwere Halsschmerzen,0.637,Schwindel,0.089,6.214,4.651,1.33605676198667,Depression,Dizziness,severe sore throat,severe sore throat,56,6.7,6.7,8.05,5.45,92
95,leichte Kopfschmerzen,0.604,Halluzinationen,0.043,leichte Kopfschmerzen,0.514,Sprachstörungen,0.071,1.425,1.045,1.36363636363636,Hallucination,Speech Disorder,mild head ache,mild head ache,57,2.75,2.75,7.75,6.9,95
96,schwere Kopfschmerzen,0.703,Schwindel,0.066,schwere Kopfschmerzen,0.597,Juckreiz,0.158,6.7,5.654,1.18500176865936,Dizziness,Itching,severe head ache,severe head ache,58,7.75,7.75,5.45,4.3,96
99,mittlere Kopfschmerzen,0.596,Schwindel,0.137,mittlere Kopfschmerzen,0.736,Halluzinationen,0.075,3.487,4.477,0.778869778869779,Dizziness,Hallucination,moderate head ache,moderate head ache,59,4.95,4.95,5.45,7.75,99
100,leichte Rückenschmerzen,0.761,Blähungen,0.276,leichte Rückenschmerzen,0.716,Depression,0.056,1.246,0.872,1.42889908256881,Flatulence,Depression,mild back pain,mild back pain,60,2.1,2.1,2.65,8.05,100
