"","X","...1","a.benefit.v","a.benefit.p","a.side_effect.v","a.side_effect.p","b.benefit.v","b.benefit.p","b.side_effect.v","b.side_effect.p","EU.a","EU.b","EU.ratio"
"30",44,44,2.1,0.766,5.15,0.083,2.1,0.635,4.55,0.136,1.2,0.862,1.39211136890951
"31",45,45,4.95,0.609,2.65,0.164,4.95,0.691,4.3,0.081,4.099,4.675,0.876791443850267
"32",48,48,4.25,0.754,7.65,0.088,4.25,0.833,5.15,0.235,2.312,2.392,0.966555183946488
"33",53,53,4.95,0.713,8.05,0.01,4.95,0.763,7.75,0.041,4.891,4.972,0.983708769106999
"34",54,54,6.7,0.659,2.65,0.227,6.7,0.594,6.65,0.134,5.045,3.948,1.27786220871327
"35",56,56,4.6,0.77,7.75,0.016,4.6,0.62,6.65,0.091,4.476,3.174,1.41020793950851
"36",57,57,2.75,0.645,5.45,0.137,2.75,0.677,6.9,0.017,1.25,1.912,0.653765690376569
"37",59,59,6.7,0.569,5.15,0.16,6.7,0.795,8.05,0.071,3.912,5.65,0.692389380530973
"38",60,60,6.7,0.566,6.9,0.06,6.7,0.766,5.15,0.192,4.108,5.36,0.766417910447761
"39",61,61,2.75,0.86,7.65,0.104,2.75,0.659,4.55,0.138,1.748,1.563,1.11836212412028
"40",65,65,7.4,0.571,2.65,0.261,7.4,0.514,8.05,0.014,4.878,4.486,1.08738296923763
"41",67,67,6.7,0.711,6.9,0.145,6.7,0.536,2.65,0.139,4.673,4.149,1.12629549288985
"42",68,68,4.25,0.845,2.65,0.162,4.25,0.869,6.65,0.068,3.218,3.068,1.04889178617992
"43",70,70,4.6,0.556,8.05,0.029,4.6,0.715,6.9,0.105,3.046,3.555,0.856821378340366
"44",71,71,7.4,0.606,6.9,0.036,7.4,0.577,4.55,0.105,5.202,4.878,1.06642066420664
"45",73,73,4.95,0.703,4.3,0.162,4.95,0.756,5.45,0.103,4.597,4.777,0.962319447351894
"46",74,74,2.1,0.693,6.9,0.031,2.1,0.708,4.3,0.18,1.169,1.056,1.10700757575758
"47",76,76,6.7,0.794,5.45,0.2,6.7,0.837,8.05,0.018,5.352,6.516,0.821362799263352
"48",77,77,7.4,0.741,8.05,0.02,7.4,0.571,2.65,0.198,6.469,4.941,1.30924913985023
"49",79,79,4.6,0.733,4.55,0.167,4.6,0.799,7.75,0.038,3.897,4.452,0.875336927223719
"50",80,80,1.85,0.812,6.65,0.037,1.85,0.817,4.3,0.199,0.59,0.419,1.40811455847255
"51",81,81,2.1,0.626,2.65,0.205,2.1,0.571,7.65,0.027,1.047,0.926,1.13066954643629
"52",83,83,2.75,0.742,7.75,0.052,2.75,0.688,5.45,0.112,1.758,1.504,1.1688829787234
"53",84,84,2.75,0.595,4.3,0.187,2.75,0.669,6.65,0.065,1.411,1.617,0.872603586889301
"54",85,85,7.75,0.668,4.55,0.153,7.75,0.846,6.65,0.082,6.221,7.968,0.780747991967872
"55",86,86,1.85,0.716,6.65,0.074,1.85,0.676,2.65,0.176,0.272,0.5,0.544
"56",90,90,4.25,0.832,5.45,0.118,4.25,0.903,2.65,0.193,2.738,3.419,0.800818952910208
"57",92,92,6.7,0.793,8.05,0.013,6.7,0.637,5.45,0.089,6.214,4.651,1.33605676198667
"58",95,95,2.75,0.604,7.75,0.043,2.75,0.514,6.9,0.071,1.425,1.045,1.36363636363636
"59",96,96,7.75,0.703,5.45,0.066,7.75,0.597,4.3,0.158,6.7,5.654,1.18500176865936
"60",99,99,4.95,0.596,5.45,0.137,4.95,0.736,7.75,0.075,3.487,4.477,0.778869778869779
"61",100,100,2.1,0.761,2.65,0.276,2.1,0.716,8.05,0.056,1.246,0.872,1.42889908256881
