"","X.1","X","...1","a.benefit.v","a.benefit.p","a.side_effect.v","a.side_effect.p","b.benefit.v","b.benefit.p","b.side_effect.v","b.side_effect.p","EU.a","EU.b","EU.ratio"
"45",46,74,74,2,0.693,7,0.031,2,0.708,2,0.18,1.169,1.056,1.10700757575758
"46",47,76,76,8,0.794,5,0.2,8,0.837,10,0.018,5.352,6.516,0.821362799263352
"47",48,77,77,9,0.741,10,0.02,9,0.571,1,0.198,6.469,4.941,1.30924913985023
"48",49,79,79,6,0.733,3,0.167,6,0.799,9,0.038,3.897,4.452,0.875336927223719
"49",50,80,80,1,0.812,6,0.037,1,0.817,2,0.199,0.59,0.419,1.40811455847255
"50",51,81,81,2,0.626,1,0.205,2,0.571,8,0.027,1.047,0.926,1.13066954643629
"51",52,83,83,3,0.742,9,0.052,3,0.688,5,0.112,1.758,1.504,1.1688829787234
"52",53,84,84,3,0.595,2,0.187,3,0.669,6,0.065,1.411,1.617,0.872603586889301
"53",54,85,85,10,0.668,3,0.153,10,0.846,6,0.082,6.221,7.968,0.780747991967872
"54",55,86,86,1,0.716,6,0.074,1,0.676,1,0.176,0.272,0.5,0.544
"55",56,90,90,4,0.832,5,0.118,4,0.903,1,0.193,2.738,3.419,0.800818952910208
"56",57,92,92,8,0.793,10,0.013,8,0.637,5,0.089,6.214,4.651,1.33605676198667
"57",58,95,95,3,0.604,9,0.043,3,0.514,7,0.071,1.425,1.045,1.36363636363636
"58",59,96,96,10,0.703,5,0.066,10,0.597,2,0.158,6.7,5.654,1.18500176865936
"59",60,99,99,7,0.596,5,0.137,7,0.736,9,0.075,3.487,4.477,0.778869778869779
"60",61,100,100,2,0.761,1,0.276,2,0.716,10,0.056,1.246,0.872,1.42889908256881
